"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT08"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-01","2.01",,"0.00",,,"64","48","  130","  100","6.9","11.0",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-02","4.70",,"1.73","0.0","0.0","59","53","  140","  150","16.1","25.1","    1",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-03","2.68",,"0.46","0.0","0.0","60","52","  280","  270","8.9","16.1","    1","    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-04","2.24",,"0.27","0.0","0.0","60","51","  260","  270","8.1","15.0","    1",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-05","3.36",,"0.24",,"0.0","56","46","  270","  280","13.0","23.9","    1",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-06","2.91",,"0.00","0.0","0.0","57","43","  270",,"10.1",,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-07","2.24",,"0.00","0.0","0.0","62","43","  270","  270","8.1","13.0",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-08","2.24",,"0.00","0.0","0.0","63","44","  270","  260","8.1","12.1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-09","3.36",,"0.26",,"0.0","60","47","   90","  270","8.9","15.0","    1",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-10","3.13",,"0.12",,"0.0","58","47","  360","  340","13.0","21.0","    1",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-11","2.01",,"0.00","0.0","0.0","61","40","  270","  340","8.9","14.1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-12","1.34",,"0.00","0.0","0.0","69","42","  100","   80","8.1","12.1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-13","5.59",,"0.09","0.0","0.0","61","52","   90","  110","14.1","21.9","    1",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-14","4.47",,"2.12","0.0",,"63","53","  270","  270","13.0","23.0","    1",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-15","1.34",,"0.18",,"0.0","61","49","  250","  270","6.9","13.0","    1",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-16","2.46",,"0.00","0.0","0.0","60","45","  270","  270","12.1","19.0",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-17","3.36",,"0.00",,"0.0","58","44","  270","  260","17.0","29.1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-18","2.91",,"0.00","0.0","0.0","59","43","   90","  160","12.1","19.9",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-19","1.57",,"0.00","0.0","0.0","60","41","  280","  270","10.1","16.1",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-20","3.80",,"0.08",,"0.0","57","43","  100","  270","10.1","16.1","    1",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-21","2.01",,"0.00","0.0","0.0","57","43","  100","  270","12.1","21.0",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-22","1.57",,"0.00","0.0","0.0","62","40","  270","  270","10.1","19.9",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-23","3.13",,"0.00","0.0","0.0","62","46","  270","  270","10.1","15.0",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-24","0.89",,"0.00","0.0","0.0","66","46","  270","  270","8.1","14.1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-25","1.79",,"0.00","0.0","0.0","68","48","  270","  270","6.9","12.1",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-26","0.67",,"0.00","0.0","0.0","66","47","  270","  280","6.9","13.0",,"    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-27","1.34",,"0.01","0.0","0.0","66","50","  270","  270","8.9","15.0","    1","    1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2019-02-28","2.68",,"0.03","0.0","0.0","67","56","  260","  280","6.9","11.0","    1","    1"
